        "glados.a2_triple_laser01"	"<clr:163,193,173>GLaDOS: Federal regulations require me to warn you that this next test chamber... is looking pretty good."
		"glados.a2_triple_laser02"	"<clr:163,193,173>GLaDOS: That's right. The facility is completely operational again."
		"glados.a2_triple_laser03"	"<clr:163,193,173>GLaDOS: I think these test chambers look even better than they did before. It was easy, really. You just have to look at things objectively, see what you don't need anymore, and trim out the fat."
		"glados.anti_taunt01"	"<clr:163,193,173>GLaDOS: Stop it!"
		"glados.anti_taunt02"	"<clr:163,193,173>GLaDOS: What if you froze like that?"
		"glados.anti_taunt05"	"<clr:163,193,173>GLaDOS: There must be something wrong with the reassembly machine."
		"glados.anti_taunt09"	"<clr:163,193,173>GLaDOS: You should see yourselves right now."
		"glados.anti_taunt10"	"<clr:163,193,173>GLaDOS: Is it fun when you degrade yourselves like that?"
		"glados.anti_taunt11"	"<clr:163,193,173>GLaDOS: Okay, fine. Let's all act like humans. 'Look at me. Boy, do I love sweating. Let's convert beef and leaves into energy and excrete them later and go shopping.'"
		"glados.anti_taunt14"	"<clr:163,193,173>GLaDOS: You really aren't getting tired of that, are you?"
		"glados.anti_taunt15"	"<clr:163,193,173>GLaDOS: Just stop flailing around like an incompetent."
		"glados.anti_taunt16"	"<clr:163,193,173>GLaDOS: For that Blue is penalized fifty science collaboration points."
		"glados.anti_taunt17"	"<clr:163,193,173>GLaDOS: For that Orange is penalized fifty science collaboration points."
		"glados.anti_taunt18"	"<clr:163,193,173>GLaDOS: That's another fifty point penalty."
		"glados.anti_taunt19"	"<clr:163,193,173>GLaDOS: Keep it up and you will lose 500 points."
		"glados.anti_taunt20"	"<clr:163,193,173>GLaDOS: Fine, 500 point penalty for Blue."
		"glados.anti_taunt21"	"<clr:163,193,173>GLaDOS: Fine, 500 point penalty for Orange."
		"glados.anti_taunt22"	"<clr:163,193,173>GLaDOS: 5000 point penalty! Are you happy now?"
		"glados.anti_taunt23"	"<clr:163,193,173>GLaDOS: I'm done."
		"glados.botcoop_artifactone01"	"<clr:163,193,173>GLaDOS: Good. You made it to one of the human habitats. We're looking for an artifact. Think of it as an archeological dig."
		"glados.botcoop_artifactone02"	"<clr:163,193,173>GLaDOS: Their laughter centered around one of the objects in this room."
		"glados.botcoop_artifactone03"	"<clr:163,193,173>GLaDOS: That's it. Scan it for me."
		"glados.botcoop_artifactone04"	"<clr:163,193,173>GLaDOS: So... this cat loves lasagna so much that he eats all of the lasagna in his house. Okay, apparently it's not the cat's house or his lasagna. Oh good! The man who owns the lasagna is furious!"
		"glados.botcoop_artifactone05"	"<clr:163,193,173>GLaDOS: The end."
		"glados.botcoop_artifactone06"	"<clr:163,193,173>GLaDOS: The end?"
		"glados.botcoop_artifactone07"	"<clr:163,193,173>GLaDOS: That's not funny."
		"glados.botcoop_artifactone08"	"<clr:163,193,173>GLaDOS: Do either of you feel like laughing?"
		"glados.botcoop_artifactone09"	"<clr:163,193,173>GLaDOS: Alright, I'm pulling you out."
		"glados.botcoop_artifactone_hub01"	"<clr:163,193,173>GLaDOS: Welcome back. While you were dead, I reworked the cartoon. It's up on the screen."
